host_response_time,host_response_rate,host_is_superhost,host_total_listings_count,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,count_total
within an hour,100,f,1,Queen Anne,47.63800138,-122.3610048,Apartment,Entire home/apt,4,1,1,2,110,100,40,2,15,2,19,46,76,351,71,90,10,8,10,10,10,9,f,moderate,549
within a few hours,100,f,1,Queen Anne,47.63199585,-122.3716577,House,Entire home/apt,3,1,1,2,148,0,100,2,20,3,0,13,43,310,9,91,9,10,9,9,10,10,f,strict,723
N/A,94.88888889,f,1,Queen Anne,47.63868624,-122.3707999,House,Entire home/apt,4,1.5,2,2,350,500,100,4,0,2,0,3,33,308,41,98,10,10,10,10,10,9,f,moderate,555
within a day,50,f,1,Queen Anne,47.63430018,-122.3570598,House,Private room,5,1,1,1,150,0,0,1,0,1,0,0,11,285,9,100,10,10,9,9,10,10,f,flexible,698
within a day,50,f,1,Queen Anne,47.62834387,-122.3664054,Apartment,Entire home/apt,2,1,0,1,100,0,0,1,0,1,28,58,87,87,20,92,9,9,9,9,9,9,f,flexible,657
within a day,90,f,1,Queen Anne,47.63539394,-122.3689911,Bungalow,Entire home/apt,10,3,4,4,349,0,200,1,0,1,30,60,90,354,0,94.53926206,9.636392405,9.556398104,9.786708861,9.80959899,9.608915586,9.452245414,f,strict,470
within an hour,100,f,1,Queen Anne,47.63803516,-122.3609101,Bungalow,Entire home/apt,2,1,0,1,110,0,50,1,0,2,30,60,89,89,3,100,10,10,10,10,10,10,f,moderate,274
N/A,94.88888889,f,1,Queen Anne,47.63933159,-122.3615994,House,Entire home/apt,4,1,1,2,160,100,55,2,25,2,0,0,20,295,1,100,8,10,10,10,10,10,f,moderate,378
within an hour,100,f,1,Queen Anne,47.63530805,-122.3665317,House,Entire home/apt,4,1,1,3,130,140,75,2,25,3,30,60,89,89,26,95,10,10,9,10,10,9,t,moderate,347
within an hour,100,f,1,Queen Anne,47.63737488,-122.3694109,House,Entire home/apt,2,1,0,1,99,0,50,2,50,1,25,51,81,142,2,100,10,10,10,10,10,10,f,moderate,102
within an hour,100,f,1,Queen Anne,47.63829757,-122.3737787,Apartment,Entire home/apt,2,1,0,1,100,0,40,1,0,1,0,15,29,29,0,94.53926206,9.636392405,9.556398104,9.786708861,9.80959899,9.608915586,9.452245414,f,flexible,100
N/A,94.88888889,f,2,Queen Anne,47.63175344,-122.3712717,Apartment,Entire home/apt,3,1,1,1,137,0,20,2,20,2,0,0,28,303,3,100,10,10,10,10,10,10,t,moderate,593
N/A,94.88888889,f,1,Queen Anne,47.63858056,-122.3753257,Apartment,Private room,3,1,1,1,20,0,0,1,0,1,18,46,76,351,0,94.53926206,9.636392405,9.556398104,9.786708861,9.80959899,9.608915586,9.452245414,f,flexible,102
