host_response_time,host_response_rate,host_is_superhost,host_total_listings_count,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,count_total
within a few hours,80,f,2,Central Area,47.60026601,-122.2998674,House,Private room,2,1.5,1,2,60,0,30,1,30,2,3,33,63,338,27,93,9,9,9,9,8,9,f,flexible,366
within an hour,100,f,1,Central Area,47.59921759,-122.3120997,Bungalow,Private room,2,1.5,1,1,70,0,12,1,10,1,0,0,15,104,22,94,10,10,10,9,9,9,f,moderate,822
within a day,75,f,1,Central Area,47.59561764,-122.3108208,Condominium,Entire home/apt,4,2,3,2,175,0,20,1,0,2,28,58,88,363,4,100,10,10,10,10,10,10,f,flexible,56
N/A,94.88888889,f,1,Central Area,47.57669612,-122.2968805,Loft,Entire home/apt,2,1,1,2,100,250,25,1,0,2,0,0,0,98,0,94.53926206,9.636392405,9.556398104,9.786708861,9.80959899,9.608915586,9.452245414,f,flexible,243
within a few hours,100,f,1,Central Area,47.59695169,-122.3019871,House,Private room,2,2,1,1,69,0,0,1,0,1,26,56,85,85,12,93,10,10,10,10,9,10,f,flexible,472
within an hour,100,f,2,Central Area,47.59213628,-122.3000801,Apartment,Private room,2,1,1,1,35,200,20,1,10,1,24,54,84,359,23,84,9,8,9,10,8,9,t,moderate,325
within a day,75,f,1,Central Area,47.59802553,-122.3069675,House,Entire home/apt,4,1,3,2,140,0,50,4,35,2,30,60,90,365,1,94.53926206,9.636392405,9.556398104,9.786708861,9.80959899,9.608915586,9.452245414,f,strict,146
within a day,100,f,1,Central Area,47.59622687,-122.3029231,House,Private room,2,1,1,1,68,0,0,2,20,2,21,51,72,161,17,96,10,10,10,10,9,10,f,moderate,357
within an hour,100,f,2,Central Area,47.60016616,-122.307816,Apartment,Private room,2,1.5,1,1,55,0,5,1,0,1,0,0,0,55,0,94.53926206,9.636392405,9.556398104,9.786708861,9.80959899,9.608915586,9.452245414,f,flexible,108
N/A,94.88888889,f,2,Central Area,47.58725541,-122.3003847,House,Entire home/apt,4,1.5,1,1,100,150,0,2,20,2,29,59,88,88,4,100,10,10,10,10,10,10,f,flexible,520
within an hour,100,f,1,Central Area,47.59370214,-122.3081055,Apartment,Entire home/apt,2,1,0,1,70,0,25,0,0,1,2,2,3,3,4,100,9,10,10,10,10,10,f,flexible,506
N/A,94.88888889,f,2,Central Area,47.58622696,-122.2986161,House,Private room,2,1.5,1,1,90,0,0,2,40,2,30,60,90,365,1,100,10,10,10,10,10,10,f,flexible,530
N/A,94.88888889,f,1,Central Area,47.60158523,-122.3069832,House,Entire home/apt,6,2.5,2,3,275,500,250,4,75,3,0,26,56,331,14,96,10,10,10,10,9,9,f,strict,506
within a day,100,f,1,Central Area,47.59321976,-122.3088915,Apartment,Private room,2,1,1,1,60,0,5,1,10,1,2,32,62,337,26,97,10,10,10,10,9,10,f,flexible,431
within an hour,100,f,2,Central Area,47.59984837,-122.3070342,Apartment,Entire home/apt,4,1.5,2,2,125,0,0,1,0,1,16,31,34,250,1,100,6,10,10,10,10,10,f,strict,94
within a day,50,f,1,Central Area,47.59364421,-122.3093201,Apartment,Entire home/apt,4,1,1,2,100,100,50,1,0,1,5,31,61,336,0,94.53926206,9.636392405,9.556398104,9.786708861,9.80959899,9.608915586,9.452245414,f,flexible,118
N/A,94.88888889,f,1,Central Area,47.59964652,-122.3073967,Apartment,Entire home/apt,2,1,0,1,115,0,25,1,0,2,0,0,0,95,0,94.53926206,9.636392405,9.556398104,9.786708861,9.80959899,9.608915586,9.452245414,f,moderate,234
within a day,67,f,1,Central Area,47.59316777,-122.3016992,House,Entire home/apt,4,2,2,3,90,0,0,1,0,2,0,0,0,58,3,100,10,10,10,10,9,10,f,moderate,392
within a few hours,90,f,3,Central Area,47.59704962,-122.2998868,House,Entire home/apt,6,2.5,3,3,250,0,100,1,0,3,2,32,62,337,10,100,10,10,10,10,10,10,f,strict,325
N/A,94.88888889,f,1,Central Area,47.59382038,-122.305967,Apartment,Entire home/apt,4,1,1,2,119,250,20,1,0,7,0,19,49,324,0,94.53926206,9.636392405,9.556398104,9.786708861,9.80959899,9.608915586,9.452245414,f,flexible,445
within an hour,89,f,3,Central Area,47.59797618,-122.3008799,House,Entire home/apt,7,3.5,3,3,218,0,170,1,0,2,30,60,90,365,39,88,9,9,9,9,8,9,f,strict,526
N/A,94.88888889,f,1,Central Area,47.59437235,-122.3093581,Apartment,Entire home/apt,3,1,1,1,120,0,25,1,20,2,0,0,0,194,1,100,10,10,10,10,10,10,f,moderate,416
within a day,83,f,1,Central Area,47.59127371,-122.3057614,House,Entire home/apt,2,1,0,1,64,0,20,1,0,2,30,60,90,365,18,89,9,9,9,9,9,10,f,flexible,165
N/A,94.88888889,f,1,Central Area,47.59639091,-122.3049055,House,Entire home/apt,4,2,3,2,168,350,95,1,0,4,0,0,0,142,1,100,10,10,10,10,8,10,f,strict,785
within an hour,100,f,1,Central Area,47.59371046,-122.3041901,Apartment,Entire home/apt,3,1,0,2,85,400,80,2,50,1,30,60,90,365,4,90,10,10,10,9,7,9,f,strict,304
within an hour,100,f,1,Central Area,47.59361162,-122.3097999,House,Entire home/apt,4,1,2,3,115,100,50,1,0,1,8,22,30,30,45,93,10,9,10,10,9,9,f,strict,505
within an hour,100,f,1,Central Area,47.59196614,-122.3083929,Apartment,Private room,4,1,1,1,90,0,0,1,0,2,28,58,88,363,9,84,9,8,9,10,8,7,f,flexible,586
N/A,94.88888889,f,1,Central Area,47.59235748,-122.3033445,Townhouse,Private room,2,1.5,1,1,125,1500,75,1,25,1,0,0,0,34,0,94.53926206,9.636392405,9.556398104,9.786708861,9.80959899,9.608915586,9.452245414,f,moderate,359
within an hour,100,f,2,Central Area,47.60141207,-122.3128888,Apartment,Entire home/apt,3,1,0,2,90,149,60,2,10,1,30,60,90,365,0,94.53926206,9.636392405,9.556398104,9.786708861,9.80959899,9.608915586,9.452245414,t,strict,338
within a day,100,f,1,Central Area,47.59982699,-122.3094831,Townhouse,Entire home/apt,4,2,2,2,149,300,25,4,25,3,0,0,0,0,6,100,10,10,10,10,10,10,f,strict,392
within an hour,100,f,1,Central Area,47.58748247,-122.3006221,House,Entire home/apt,8,3,3,3,250,250,120,6,25,2,23,53,62,62,7,94,10,9,9,9,9,9,t,strict,368
within a few hours,75,f,1,Central Area,47.5942898,-122.3091905,Condominium,Private room,2,1,1,1,65,100,0,1,20,1,30,60,90,365,2,100,10,10,10,10,10,10,t,flexible,14
within an hour,100,f,2,Central Area,47.59083217,-122.2998134,House,Private room,2,0.5,1,1,40,100,20,1,10,1,20,50,79,79,26,86,9,8,9,9,8,9,t,moderate,298
within a few hours,80,f,2,Central Area,47.60051049,-122.301994,House,Private room,2,1.5,1,1,60,95,30,1,35,2,1,31,61,336,31,95,10,9,10,9,9,9,t,flexible,368
N/A,94.88888889,f,1,Central Area,47.60138626,-122.307679,House,Entire home/apt,4,2,2,2,149,0,75,1,0,3,2,32,62,337,5,96,10,10,10,9,10,10,t,moderate,208
within a day,100,f,1,Central Area,47.60011268,-122.3037545,Apartment,Entire home/apt,2,1,1,1,115,200,30,2,20,1,0,0,0,154,7,100,10,10,10,10,9,10,f,moderate,396
within a few hours,89,f,11,Central Area,47.58172347,-122.2989805,House,Entire home/apt,6,1,1,3,79,100,75,2,15,1,30,60,90,365,64,89,9,9,9,9,8,8,f,strict,818
within a day,96,f,6,Downtown,47.61070501,-122.340975,Apartment,Entire home/apt,2,1,0,1,129,300,50,1,0,2,21,47,77,352,0,94.53926206,9.636392405,9.556398104,9.786708861,9.80959899,9.608915586,9.452245414,f,strict,598
within an hour,100,f,3,Downtown,47.60927418,-122.3408774,Apartment,Entire home/apt,2,1,0,1,100,100,0,1,0,2,17,47,77,219,52,95,10,9,10,10,10,9,t,moderate,560
within an hour,99,f,169,Downtown,47.60854615,-122.3391915,Apartment,Entire home/apt,2,1,1,2,76,0,99,1,0,2,30,60,90,361,7,91,9,9,9,9,10,9,f,strict,598
within an hour,99,f,169,Downtown,47.60846227,-122.3395063,Apartment,Entire home/apt,4,1,1,2,100,0,99,1,0,2,30,60,90,359,13,86,9,9,8,9,10,9,f,strict,636
within an hour,99,f,169,Downtown,47.60816273,-122.3389926,Apartment,Entire home/apt,6,2,2,3,137,0,99,1,0,2,28,58,88,362,20,88,9,9,10,9,10,9,f,strict,632
within an hour,100,f,2,Downtown,47.61051908,-122.3418096,Apartment,Entire home/apt,2,1,0,1,179,0,0,2,30,2,22,52,82,354,6,87,9,10,9,10,10,9,t,moderate,339
within a day,63,f,9,Downtown,47.6088217,-122.3410176,Condominium,Entire home/apt,4,1,1,2,97,0,75,1,0,1,14,33,54,324,0,94.53926206,9.636392405,9.556398104,9.786708861,9.80959899,9.608915586,9.452245414,f,strict,193
within an hour,100,f,2,Downtown,47.60777108,-122.3396398,Apartment,Entire home/apt,3,1,0,1,99,100,60,1,25,1,15,45,75,350,43,91,10,9,9,9,10,9,f,strict,450
within a few hours,100,f,1,Downtown,47.61056026,-122.3412964,Apartment,Entire home/apt,2,1,0,1,149,0,0,1,0,2,0,0,27,27,1,60,10,8,6,8,8,6,f,moderate,292
within an hour,100,f,2,Downtown,47.60846138,-122.3418883,Apartment,Entire home/apt,3,1,1,1,157,0,0,2,40,1,13,36,61,77,14,99,10,10,10,10,10,10,t,moderate,353
within an hour,100,f,1,Downtown,47.61099527,-122.3435219,Apartment,Entire home/apt,4,1,0,2,170,100,50,2,25,2,2,32,60,154,10,98,10,10,10,10,10,9,f,moderate,483
within a day,63,f,9,Downtown,47.60723759,-122.3413143,Apartment,Entire home/apt,4,1,1,2,85,0,75,1,0,2,20,45,62,314,9,93,10,9,9,10,10,10,f,strict,479
within a few hours,95,f,1,Downtown,47.60880267,-122.3393003,Apartment,Entire home/apt,2,1,1,1,95,100,25,1,0,2,5,23,41,288,1,100,10,10,10,10,10,10,f,moderate,272
within a day,63,f,9,Downtown,47.60775334,-122.3413479,Apartment,Entire home/apt,4,1,1,2,99,0,75,1,0,1,19,38,63,312,14,92,10,10,10,9,10,9,f,strict,189
within an hour,100,f,5,Downtown,47.61041221,-122.3414902,Apartment,Entire home/apt,3,1,1,2,165,200,65,2,0,2,30,60,90,360,0,94.53926206,9.636392405,9.556398104,9.786708861,9.80959899,9.608915586,9.452245414,t,flexible,560
within an hour,100,f,3,Downtown,47.60855884,-122.3402696,Apartment,Entire home/apt,4,1,0,2,114,95,45,2,25,1,13,43,70,70,40,95,10,10,10,10,10,9,t,moderate,382
within a few hours,94,f,34,Downtown,47.60817001,-122.3383759,Apartment,Entire home/apt,5,2,2,2,311,0,113,1,0,7,17,41,64,139,7,100,10,10,10,10,10,9,f,strict,509
N/A,94.88888889,f,1,Downtown,47.61078024,-122.3411651,Apartment,Entire home/apt,2,1,0,1,160,300,50,1,0,2,30,60,90,365,0,94.53926206,9.636392405,9.556398104,9.786708861,9.80959899,9.608915586,9.452245414,f,strict,114
within an hour,100,f,3,Downtown,47.60768097,-122.3402667,Apartment,Entire home/apt,3,1,0,2,100,0,0,2,20,2,10,29,48,185,31,97,10,9,10,9,10,9,f,moderate,627
within an hour,100,f,1,Downtown,47.60873775,-122.3411808,Apartment,Entire home/apt,3,1,1,1,150,0,50,1,0,2,18,44,67,67,21,95,10,10,10,10,10,10,t,moderate,540
within an hour,100,f,1,Downtown,47.60893109,-122.3402823,Condominium,Entire home/apt,4,2,1,2,357,250,75,1,0,7,23,53,83,358,0,94.53926206,9.636392405,9.556398104,9.786708861,9.80959899,9.608915586,9.452245414,t,strict,570
within a few hours,100,f,1,Cascade,47.64208137,-122.3246051,House,Entire home/apt,4,1,1,1,75,200,70,1,20,2,0,0,0,121,9,93,9,9,10,10,10,10,t,moderate,775
N/A,94.88888889,f,1,Cascade,47.6405253,-122.3285206,Apartment,Entire home/apt,2,1,1,1,129,300,50,2,40,4,0,0,28,303,3,100,10,10,10,10,10,10,f,moderate,479
within a few hours,100,f,1,Cascade,47.63917689,-122.3262251,Apartment,Entire home/apt,2,1,1,1,120,0,40,1,0,2,12,26,56,331,31,95,10,10,10,10,10,9,t,moderate,370
N/A,94.88888889,f,1,Cascade,47.64078787,-122.3232083,Apartment,Entire home/apt,2,1,1,1,140,200,50,1,0,10,0,0,0,0,0,94.53926206,9.636392405,9.556398104,9.786708861,9.80959899,9.608915586,9.452245414,f,strict,279
within an hour,100,f,1,Cascade,47.63757485,-122.3233591,Apartment,Entire home/apt,2,1,1,1,95,200,25,2,25,2,13,43,73,162,20,98,10,10,10,10,9,10,t,moderate,377
N/A,94.88888889,f,1,Cascade,47.64007904,-122.3255434,Apartment,Entire home/apt,3,1,1,1,91,125,75,1,25,2,0,3,31,306,7,96,10,10,10,10,10,10,f,moderate,469
N/A,94.88888889,f,1,Cascade,47.64050458,-122.3282016,House,Entire home/apt,3,1,1,2,135,250,20,1,0,1,30,60,90,365,2,100,10,10,10,10,10,8,f,strict,542
N/A,94.88888889,f,1,Cascade,47.65195627,-122.3213982,Condominium,Entire home/apt,3,1,1,1,150,0,30,3,30,2,0,0,0,247,2,90,10,8,10,10,9,9,t,flexible,269
N/A,94.88888889,f,3,Cascade,47.64198079,-122.32299,Apartment,Shared room,1,1,1,1,50,0,0,1,0,1,0,0,0,109,0,94.53926206,9.636392405,9.556398104,9.786708861,9.80959899,9.608915586,9.452245414,f,flexible,407
within an hour,100,f,2,Cascade,47.64793265,-122.3233427,Apartment,Entire home/apt,4,1,1,2,85,150,35,2,20,1,24,54,84,359,22,86,9,9,9,10,9,8,f,strict,581
within an hour,100,f,1,Cascade,47.6360227,-122.3244654,Apartment,Private room,2,1,1,1,103,0,0,1,0,1,10,24,36,255,29,97,10,10,10,10,10,10,f,flexible,317
within a day,70,f,2,Cascade,47.63857442,-122.3248037,House,Private room,2,1,1,1,59,0,5,1,10,1,30,60,89,89,16,96,10,10,10,10,10,10,f,flexible,344
N/A,94.88888889,f,3,Cascade,47.64179026,-122.3249532,Apartment,Entire home/apt,4,1,1,1,150,0,0,1,0,2,0,0,0,109,1,80,8,8,10,10,10,8,f,flexible,407
N/A,94.88888889,f,3,Cascade,47.64069202,-122.3235032,Apartment,Private room,2,1,1,1,100,0,0,1,0,1,0,0,0,109,0,94.53926206,9.636392405,9.556398104,9.786708861,9.80959899,9.608915586,9.452245414,f,flexible,403
within a day,70,f,2,Cascade,47.63844166,-122.3251257,House,Private room,2,1,1,1,68,0,5,1,10,1,30,60,90,365,0,94.53926206,9.636392405,9.556398104,9.786708861,9.80959899,9.608915586,9.452245414,f,flexible,285
within a few hours,100,f,1,Cascade,47.64081227,-122.3260625,Apartment,Private room,3,1,1,1,52,0,0,2,55,1,26,52,82,357,0,94.53926206,9.636392405,9.556398104,9.786708861,9.80959899,9.608915586,9.452245414,f,flexible,299
within an hour,90,f,1,Cascade,47.64211473,-122.3272227,Apartment,Entire home/apt,2,1,0,1,91,200,50,1,0,1,25,55,84,84,8,88,9,8,9,10,10,9,t,strict,249
N/A,94.88888889,f,1,Cascade,47.64125058,-122.3240878,Apartment,Private room,2,1,1,1,59,0,0,1,0,1,0,0,0,0,2,90,10,10,10,10,9,9,f,moderate,72
N/A,94.88888889,f,1,Cascade,47.64648795,-122.3258909,Apartment,Entire home/apt,2,1,0,1,129,100,50,1,0,3,0,0,0,113,0,94.53926206,9.636392405,9.556398104,9.786708861,9.80959899,9.608915586,9.452245414,f,strict,505
within a day,67,f,1,Cascade,47.64538718,-122.3237816,Apartment,Entire home/apt,3,1,1,1,125,1500,10,2,40,1,0,26,56,331,9,87,10,9,8,9,9,8,f,flexible,211
N/A,94.88888889,f,2,Cascade,47.63754496,-122.3273922,Apartment,Private room,2,1,1,1,195,250,25,1,0,2,0,0,0,211,2,90,9,7,10,10,10,10,f,moderate,417
within a few hours,100,f,1,Cascade,47.63611986,-122.3243359,Apartment,Private room,2,1,1,1,58,0,5,1,10,1,30,60,90,365,89,89,9,9,10,10,9,9,f,moderate,317
within a day,50,f,1,Cascade,47.64032438,-122.3231676,House,Entire home/apt,8,2.5,3,3,600,2000,145,5,100,2,5,24,54,205,2,60,10,10,10,8,8,6,f,flexible,345
N/A,94.88888889,f,1,Cascade,47.64862792,-122.3242205,Apartment,Entire home/apt,2,1,1,1,89,200,35,2,0,2,30,60,90,365,0,94.53926206,9.636392405,9.556398104,9.786708861,9.80959899,9.608915586,9.452245414,f,flexible,451
within a day,100,f,1,Cascade,47.63874945,-122.3270475,Apartment,Entire home/apt,4,1,0,2,100,0,0,1,0,1,0,0,0,118,6,73,6,6,9,9,9,7,f,flexible,433
within an hour,100,f,1,Cascade,47.63672995,-122.3237994,Apartment,Entire home/apt,3,1,2,2,125,0,50,1,15,2,30,60,89,89,11,96,10,10,10,10,9,10,f,strict,246
within a day,100,f,1,Cascade,47.64097356,-122.3285731,Apartment,Private room,2,1,1,1,82,0,30,1,0,2,26,56,86,361,115,92,9,9,10,10,10,9,f,strict,552
within a few hours,100,f,2,Cascade,47.6366744,-122.323155,Apartment,Entire home/apt,4,1,2,2,225,250,150,1,0,7,19,49,79,308,0,94.53926206,9.636392405,9.556398104,9.786708861,9.80959899,9.608915586,9.452245414,f,strict,353
within an hour,90,f,1,Cascade,47.63618111,-122.3266379,Apartment,Private room,2,1,1,1,55,0,0,1,0,1,17,47,76,76,4,100,10,10,10,10,10,10,f,flexible,401
N/A,94.88888889,f,1,Cascade,47.63550919,-122.3254119,Apartment,Private room,2,1,1,1,90,0,35,1,10,1,0,0,0,42,0,94.53926206,9.636392405,9.556398104,9.786708861,9.80959899,9.608915586,9.452245414,f,flexible,104
within an hour,100,f,1,Cascade,47.64425525,-122.3261722,Apartment,Entire home/apt,2,1,1,1,134,500,79,2,0,1,26,52,82,321,6,100,10,10,10,10,10,10,f,strict,535
within an hour,100,f,1,Cascade,47.64166537,-122.3246454,Apartment,Private room,2,1,1,1,42,100,0,1,10,1,0,30,60,335,4,75,7,7,8,9,7,7,t,moderate,62
within a day,50,f,1,Cascade,47.64687986,-122.3241736,Apartment,Entire home/apt,2,1,1,1,125,250,40,2,20,2,6,34,64,339,34,96,10,10,10,10,10,10,f,strict,480
within an hour,96,f,2,Cascade,47.63845449,-122.3233818,House,Entire home/apt,6,1,2,2,115,0,40,4,20,1,11,41,71,160,106,77,8,8,9,9,8,8,t,moderate,449
within a day,89,f,1,Cascade,47.61907156,-122.3477988,Apartment,Entire home/apt,3,1,1,1,125,0,20,1,0,1,0,0,0,144,9,98,10,10,10,10,10,10,f,strict,237
within an hour,100,f,1,Cascade,47.62386147,-122.3422631,Apartment,Private room,2,1,1,1,55,0,10,1,0,2,0,0,0,119,16,96,9,10,10,10,10,10,f,moderate,823
within an hour,100,f,2,Cascade,47.6208625,-122.3389661,Apartment,Entire home/apt,6,2,2,3,550,500,55,1,0,3,4,11,17,240,7,100,10,10,10,10,10,10,f,flexible,638
within an hour,100,f,1,Cascade,47.63449323,-122.3258473,Apartment,Entire home/apt,2,1,1,1,90,0,40,1,0,2,3,6,13,13,0,94.53926206,9.636392405,9.556398104,9.786708861,9.80959899,9.608915586,9.452245414,t,flexible,90
within an hour,88,f,1,Cascade,47.61920554,-122.3320296,Apartment,Entire home/apt,3,1,1,1,100,0,0,1,0,2,8,14,14,14,3,100,10,10,10,10,10,10,f,flexible,632
within a day,80,f,1,Cascade,47.62398874,-122.3321662,Loft,Entire home/apt,2,1,1,1,95,0,0,1,0,1,0,0,0,16,0,94.53926206,9.636392405,9.556398104,9.786708861,9.80959899,9.608915586,9.452245414,f,flexible,72
within a few hours,100,f,1,Cascade,47.62330202,-122.3319691,Apartment,Entire home/apt,4,1,1,2,110,300,15,2,0,4,0,0,0,59,0,94.53926206,9.636392405,9.556398104,9.786708861,9.80959899,9.608915586,9.452245414,f,flexible,242
within a day,57,f,1,Cascade,47.63443454,-122.3241573,Apartment,Entire home/apt,2,1,0,1,80,0,10,1,0,2,30,60,90,365,15,82,9,8,10,10,9,8,f,flexible,408
a few days or more,30,f,1,Cascade,47.62667517,-122.3429056,Apartment,Private room,4,2,1,1,100,0,25,1,0,30,3,33,63,338,2,100,9,9,10,10,10,10,f,moderate,350
within an hour,100,f,1,Cascade,47.61970698,-122.3369972,Apartment,Entire home/apt,2,1,0,1,90,1200,0,1,0,7,0,0,0,105,1,100,6,10,10,10,10,10,f,flexible,247
N/A,94.88888889,f,1,Cascade,47.62036233,-122.3446291,Condominium,Entire home/apt,2,1.5,1,1,88,2000,100,1,50,1,0,0,0,61,0,94.53926206,9.636392405,9.556398104,9.786708861,9.80959899,9.608915586,9.452245414,f,flexible,201
within an hour,100,f,1,Cascade,47.6286668,-122.3285456,Apartment,Private room,2,1,1,1,59,200,40,1,0,2,30,60,89,89,14,85,9,8,10,9,10,9,f,strict,154
N/A,94.88888889,f,1,Cascade,47.61998352,-122.3338898,Apartment,Entire home/apt,2,1,0,1,135,0,25,2,0,1,30,60,89,89,0,94.53926206,9.636392405,9.556398104,9.786708861,9.80959899,9.608915586,9.452245414,f,moderate,425
N/A,94.88888889,f,1,Cascade,47.61974793,-122.339131,Apartment,Entire home/apt,2,1,1,1,220,0,40,2,25,3,0,3,33,122,21,96,10,9,9,9,9,9,f,strict,345
within a few hours,100,f,1,Cascade,47.62366227,-122.3332926,Apartment,Private room,2,1,1,1,115,0,50,2,50,2,30,60,90,365,3,73,6,5,10,10,7,6,f,flexible,382
N/A,94.88888889,f,1,Cascade,47.62547232,-122.3374789,Camper/RV,Shared room,4,1,1,4,100,0,0,1,0,1,30,60,90,365,0,94.53926206,9.636392405,9.556398104,9.786708861,9.80959899,9.608915586,9.452245414,t,flexible,78
within an hour,100,f,1,Cascade,47.62151025,-122.3287867,Apartment,Entire home/apt,2,1,1,1,115,500,50,1,0,2,0,0,30,305,19,98,10,9,10,10,10,9,f,strict,249
within a few hours,100,f,2,Cascade,47.62175656,-122.3296963,Apartment,Private room,2,1,1,1,75,100,25,1,15,1,25,55,85,174,4,90,10,10,10,9,10,9,f,moderate,341
N/A,94.88888889,f,1,Cascade,47.6208902,-122.3303591,Apartment,Entire home/apt,2,1,0,1,110,0,50,1,0,3,2,2,2,148,1,80,8,6,10,10,8,10,f,flexible,84
within an hour,100,f,2,Cascade,47.62096789,-122.3377744,Apartment,Private room,2,1,1,1,220,500,55,1,0,1,4,18,42,302,12,100,10,10,10,10,10,10,f,moderate,637
within an hour,100,f,1,Cascade,47.6193018,-122.3443613,Condominium,Entire home/apt,3,1,1,1,119,100,60,1,0,1,4,34,63,63,3,93,10,9,10,10,10,10,t,strict,442
within a few hours,100,f,2,Cascade,47.62147035,-122.3310743,Apartment,Private room,2,1,1,1,75,100,25,1,10,1,30,60,66,66,1,40,4,10,10,10,10,4,f,flexible,87
within a day,50,f,1,Magnolia,47.65947038,-122.4018734,House,Entire home/apt,6,2.5,3,3,200,200,75,1,0,1,0,0,0,152,2,90,9,9,10,10,10,9,f,moderate,359
within a day,100,f,4,Magnolia,47.65421134,-122.4083888,House,Entire home/apt,7,2,3,3,229,300,150,6,25,2,30,60,89,89,4,100,10,10,10,10,10,10,f,strict,462
within an hour,91,f,2,Magnolia,47.65912133,-122.4022654,Apartment,Private room,1,1,1,1,41,0,10,1,35,2,28,58,72,320,57,89,9,9,9,10,9,9,f,flexible,322
within a day,100,f,1,Magnolia,47.65157061,-122.3837191,House,Private room,1,1,1,1,55,0,20,1,0,1,15,45,75,350,0,94.53926206,9.636392405,9.556398104,9.786708861,9.80959899,9.608915586,9.452245414,f,moderate,52
a few days or more,43,f,1,Magnolia,47.65982998,-122.4027384,Apartment,Private room,2,1,1,2,70,0,0,1,0,1,30,60,90,365,20,86,9,8,9,9,9,8,f,moderate,358
within an hour,100,f,1,Magnolia,47.64899205,-122.397112,House,Entire home/apt,6,1,2,4,200,250,100,6,0,2,18,48,78,279,7,94,10,10,10,10,9,10,f,moderate,723
within a day,50,f,1,Magnolia,47.64950046,-122.3839635,Townhouse,Entire home/apt,5,2.5,3,3,225,0,100,1,0,2,28,58,88,363,9,98,10,10,10,10,10,10,f,moderate,379
within a few hours,100,f,1,Magnolia,47.65058889,-122.3910163,Apartment,Entire home/apt,4,1,1,2,115,0,0,1,0,1,30,60,90,365,0,94.53926206,9.636392405,9.556398104,9.786708861,9.80959899,9.608915586,9.452245414,f,flexible,385
within an hour,94,f,4,Magnolia,47.64987479,-122.3835612,House,Private room,2,1,1,1,40,100,8,1,0,1,10,28,28,43,58,94,9,9,10,10,9,10,f,moderate,480
within an hour,94,f,4,Magnolia,47.64950029,-122.3827632,Townhouse,Entire home/apt,8,2.5,3,3,150,100,50,1,0,1,0,9,10,10,0,94.53926206,9.636392405,9.556398104,9.786708861,9.80959899,9.608915586,9.452245414,f,moderate,290
within an hour,100,f,1,Magnolia,47.66119734,-122.4014455,House,Private room,2,1,1,1,46,95,20,1,15,1,0,0,2,277,25,91,8,9,10,10,9,9,f,moderate,443
within an hour,100,f,1,Magnolia,47.65221579,-122.385481,House,Private room,2,1,1,1,64,0,0,1,15,2,30,60,90,365,57,97,9,10,10,10,9,10,t,moderate,502
N/A,94.88888889,f,1,Magnolia,47.6524383,-122.3896985,Apartment,Entire home/apt,2,1,1,1,125,0,15,2,15,2,0,0,0,156,3,100,10,10,10,10,10,10,f,moderate,436
within a day,100,f,1,Magnolia,47.65795018,-122.3981546,House,Entire home/apt,6,2,3,4,250,250,75,6,50,3,30,60,90,365,2,100,10,10,10,10,10,10,f,flexible,617
within an hour,100,f,1,Magnolia,47.65440287,-122.3935909,House,Entire home/apt,4,1,0,2,147,200,25,2,9,2,30,60,90,365,0,94.53926206,9.636392405,9.556398104,9.786708861,9.80959899,9.608915586,9.452245414,t,moderate,163
within an hour,91,f,2,Magnolia,47.65842626,-122.4022982,Bed & Breakfast,Shared room,1,1,1,1,30,0,10,1,0,2,29,59,82,357,16,97,9,9,10,10,10,9,f,flexible,171
within a day,67,f,1,Magnolia,47.64962414,-122.3855305,Townhouse,Private room,2,1,1,1,78,0,45,1,0,2,30,60,89,89,0,94.53926206,9.636392405,9.556398104,9.786708861,9.80959899,9.608915586,9.452245414,f,flexible,418
N/A,94.88888889,f,1,Magnolia,47.65249557,-122.3963541,Bed & Breakfast,Entire home/apt,4,1,1,2,120,100,25,2,20,1,30,60,90,365,0,94.53926206,9.636392405,9.556398104,9.786708861,9.80959899,9.608915586,9.452245414,f,moderate,445
within a few hours,100,f,1,Magnolia,47.65378345,-122.3881302,Condominium,Entire home/apt,5,2,3,2,280,300,100,4,50,2,30,60,90,365,2,80,10,10,10,9,10,8,f,flexible,86
within a day,100,f,4,Magnolia,47.65513059,-122.4078177,House,Private room,2,1,1,1,75,100,50,1,10,2,30,60,90,365,8,100,10,9,10,10,10,10,f,strict,521
within a few hours,67,f,1,Magnolia,47.65412764,-122.3896939,Apartment,Entire home/apt,4,1,1,1,178,0,0,1,0,1,30,60,90,365,1,60,4,8,10,10,10,8,f,flexible,96
N/A,94.88888889,f,1,Magnolia,47.64868391,-122.3837888,House,Entire home/apt,8,1,5,5,480,0,0,1,0,1,0,0,0,45,0,94.53926206,9.636392405,9.556398104,9.786708861,9.80959899,9.608915586,9.452245414,f,flexible,237
within a day,100,f,4,Magnolia,47.65438187,-122.4096283,House,Entire home/apt,5,1,2,3,129,200,100,4,25,2,30,60,89,89,3,73,7,7,9,9,7,7,f,strict,479
