"host_response_time","host_is_superhost","host_listings_count","host_total_listings_count","neighbourhood_cleansed","neighbourhood_group_cleansed","latitude","longitude","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","price","security_deposit","cleaning_fee","guests_included","extra_people","minimum_nights","availability_30","availability_60","availability_90","availability_365","number_of_reviews","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","instant_bookable","cancellation_policy","require_guest_profile_picture","require_guest_phone_verification","calculated_host_listings_count","reviews_per_month","count_summary","count_description","count_space"
"within an hour","f",6,6,"University District","University District",47.66494949,-122.3211328,"House","Entire home/apt",10,2,3,7,"Real Bed",275,200,225,7,30,3,30,60,90,365,17,88,9,9,10,10,9,9,"f","strict","f","f",2,1.02,44,167,164
"within a few hours","f",34,34,"University District","University District",47.66701648,-122.3044009,"Apartment","Entire home/apt",4,1,1,2,"Real Bed",105,100,60,1,15,1,18,48,78,353,29,89,9,9,9,9,9,9,"f","strict","f","f",34,1.02,46,185,180
"within a few hours","f",34,34,"University District","University District",47.65917007,-122.3165354,"Apartment","Entire home/apt",3,1,1,1,"Real Bed",78,100,60,1,15,2,30,60,90,365,7,66,6,8,8,8,7,6,"f","moderate","f","f",34,0.25,40,173,122
"within a day","f",1,1,"University District","University District",47.66456191,-122.3083994,"Apartment","Entire home/apt",4,1,1,2,"Real Bed",150,250,150,4,25,7,30,60,90,365,8,98,10,10,10,10,10,9,"t","strict","f","f",1,0.29,35,167,166
"within a few hours","f",34,34,"University District","University District",47.65892905,-122.3163078,"Apartment","Entire home/apt",3,1,1,1,"Real Bed",95,150,60,1,15,1,30,60,90,365,3,73,10,9,10,10,10,9,"f","moderate","f","f",34,0.53,45,171,138
"within a few hours","f",11,11,"University District","University District",47.66314003,-122.30285,"Condominium","Entire home/apt",5,2,2,3,"Real Bed",155,150,75,2,15,1,30,60,90,365,0,94.5392620624409,9.63639240506329,9.5563981042654,9.78670886075949,9.80959898958004,9.60891558646854,9.45224541429475,"f","moderate","f","f",11,0,44,44,0
"within an hour","f",2,2,"University District","University District",47.65760578,-122.3144447,"Apartment","Entire home/apt",2,1,0,1,"Real Bed",109,0,49,1,0,1,27,57,87,362,1,100,6,10,10,8,10,10,"t","flexible","f","f",2,1,39,167,52
"within a few hours","f",11,11,"University District","University District",47.66239538,-122.3146298,"Apartment","Entire home/apt",4,1,0,2,"Real Bed",80,100,50,1,15,1,30,60,90,365,0,94.5392620624409,9.63639240506329,9.5563981042654,9.78670886075949,9.80959898958004,9.60891558646854,9.45224541429475,"f","moderate","f","f",11,0,46,46,0
"within a few hours","f",11,11,"University District","University District",47.6630712,-122.3130173,"Apartment","Entire home/apt",2,1,0,2,"Real Bed",80,100,55,1,15,1,30,60,90,365,0,94.5392620624409,9.63639240506329,9.5563981042654,9.78670886075949,9.80959898958004,9.60891558646854,9.45224541429475,"f","flexible","f","f",11,0,45,164,160
"within a few hours","f",2,2,"University District","University District",47.67056917,-122.3157949,"House","Entire home/apt",5,1,2,2,"Real Bed",125,0,85,1,0,1,12,42,72,347,2,80,8,7,10,10,9,8,"f","strict","f","f",1,1.71,48,186,124
"N/A","f",1,1,"University District","University District",47.65641449,-122.3172383,"Apartment","Private room",2,1,1,1,"Real Bed",55,0,0,1,0,1,0,0,0,204,1,100,10,10,10,10,10,10,"f","moderate","f","f",1,0.15,47,92,0
"within a few hours","f",34,34,"University District","University District",47.66169364,-122.3129142,"Apartment","Entire home/apt",4,1,0,2,"Real Bed",98,100,60,1,15,1,30,60,90,365,15,80,9,9,8,8,9,8,"f","moderate","f","f",34,0.86,46,177,173
"within a few hours","f",11,11,"University District","University District",47.66314544,-122.313413,"Apartment","Entire home/apt",2,1,0,1,"Real Bed",82,100,60,1,15,1,5,35,65,340,0,94.5392620624409,9.63639240506329,9.5563981042654,9.78670886075949,9.80959898958004,9.60891558646854,9.45224541429475,"t","moderate","f","f",11,0,46,175,174
"N/A","f",1,1,"University District","University District",47.65730353,-122.3186601,"Apartment","Entire home/apt",2,1,1,1,"Real Bed",70,200,150,2,0,2,0,0,0,90,0,94.5392620624409,9.63639240506329,9.5563981042654,9.78670886075949,9.80959898958004,9.60891558646854,9.45224541429475,"f","strict","f","f",1,0,36,36,0
"within an hour","f",1,1,"University District","University District",47.65741764,-122.3206441,"Apartment","Private room",1,1,1,1,"Real Bed",55,0,5,1,0,2,8,38,51,98,0,94.5392620624409,9.63639240506329,9.5563981042654,9.78670886075949,9.80959898958004,9.60891558646854,9.45224541429475,"f","moderate","f","f",1,0,32,181,58
"within a few hours","f",34,34,"University District","University District",47.6643652,-122.3032258,"Apartment","Entire home/apt",4,1,1,2,"Real Bed",110,200,70,1,15,2,16,16,16,221,13,82,9,8,9,8,9,8,"f","moderate","f","f",34,0.7,44,169,174
"within a day","f",36,36,"University District","University District",47.66825152,-122.3094497,"House","Entire home/apt",9,2.5,4,6,"Real Bed",295,0,300,1,0,3,26,48,70,329,2,100,10,10,10,10,10,9,"f","strict","t","t",31,0.57,36,178,184
"within a few hours","f",34,34,"University District","University District",47.65962584,-122.3174207,"Apartment","Entire home/apt",3,1,1,2,"Real Bed",105,100,60,1,15,2,30,60,90,365,25,74,8,8,9,9,8,8,"f","moderate","f","f",34,1.39,46,189,170
"within a few hours","f",34,34,"University District","University District",47.65753036,-122.3178532,"Apartment","Entire home/apt",4,1,1,2,"Real Bed",85,100,60,1,15,1,30,60,90,365,17,78,9,9,9,9,9,8,"f","moderate","f","f",34,0.92,46,191,183
"N/A","f",1,1,"University District","University District",47.6593293,-122.3134565,"Apartment","Entire home/apt",3,1,0,2,"Real Bed",75,800,0,2,0,3,0,0,0,150,0,94.5392620624409,9.63639240506329,9.5563981042654,9.78670886075949,9.80959898958004,9.60891558646854,9.45224541429475,"f","flexible","f","f",1,0,52,114,0
"within a few hours","f",34,34,"University District","University District",47.66145428,-122.3129249,"Apartment","Entire home/apt",3,1,0,1,"Real Bed",95,100,60,1,15,3,30,60,90,179,1,60,6,6,10,8,4,4,"f","strict","f","f",34,0.22,43,178,179
"within an hour","f",2,2,"University District","University District",47.66749233,-122.3152824,"House","Private room",2,1,1,1,"Real Bed",75,0,0,1,0,2,16,43,45,320,12,92,9,10,10,9,9,9,"f","moderate","f","f",2,2.4,25,159,32
"within an hour","f",21,21,"University District","University District",47.66667724,-122.3163437,"House","Private room",1,1,1,1,"Real Bed",45,500,10,1,15,1,29,59,88,88,28,89,9,9,9,9,9,9,"t","strict","f","f",21,5,40,172,77
"N/A","f",1,1,"University District","University District",47.66622474,-122.3176093,"House","Private room",1,1.5,1,1,"Real Bed",30,0,0,1,0,1,0,0,0,180,1,80,9.63639240506329,9.5563981042654,9.78670886075949,9.80959898958004,9.60891558646854,9.45224541429475,"f","flexible","f","f",1,0.23,39,39,0
"within an hour","f",37,37,"University District","University District",47.65865765,-122.3189667,"House","Shared room",1,1,1,1,"Real Bed",42,350,35,1,0,4,30,60,90,365,0,94.5392620624409,9.63639240506329,9.5563981042654,9.78670886075949,9.80959898958004,9.60891558646854,9.45224541429475,"f","strict","f","f",37,0,43,172,126
"within a few hours","f",1,1,"University District","University District",47.6713697,-122.3157987,"House","Entire home/apt",7,1.5,3,5,"Real Bed",250,500,150,4,25,2,20,33,63,338,10,98,10,10,10,10,10,10,"f","strict","f","f",1,0.33,42,179,20
"within a day","f",1,1,"University District","University District",47.67140573,-122.3167847,"House","Private room",1,1,1,1,"Airbed",43,0,20,1,5,1,1,31,61,336,11,91,8,10,9,9,10,9,"f","flexible","f","f",1,1.92,41,192,51
"a few days or more","f",1,1,"University District","University District",47.66311747,-122.3188134,"Apartment","Entire home/apt",4,1,1,1,"Real Bed",125,0,0,1,0,1,30,60,90,365,1,100,10,10,10,10,10,10,"f","flexible","f","f",1,1,50,96,14
"within a few hours","f",34,34,"University District","University District",47.65712478,-122.3178221,"Apartment","Entire home/apt",4,1,1,2,"Real Bed",85,100,60,1,15,4,30,60,90,365,8,80,9,9,9,9,9,7,"f","strict","f","f",34,0.28,25,181,183
"N/A","f",1,1,"University District","University District",47.65700652,-122.3196197,"Apartment","Private room",2,1,1,2,"Real Bed",63,0,0,1,0,1,0,0,0,192,9,82,9,7,9,9,9,9,"f","flexible","f","f",1,1.5,35,71,0
"within an hour","f",21,21,"University District","University District",47.66709569,-122.3168086,"House","Private room",1,1,1,1,"Real Bed",41,500,10,1,15,1,24,54,84,173,15,95,9,10,9,10,10,9,"t","strict","f","f",21,2.92,40,175,71
"within a few hours","f",34,34,"University District","University District",47.66250162,-122.3134163,"Apartment","Entire home/apt",2,1,1,1,"Real Bed",70,150,60,1,15,3,30,60,90,365,1,60,10,10,8,8,10,6,"f","strict","f","f",34,0.07,46,173,173
"within a few hours","f",1,1,"University District","University District",47.6669145,-122.3142734,"Apartment","Entire home/apt",3,1,1,2,"Real Bed",85,0,5,2,25,3,25,53,83,168,36,94,9,9,10,10,9,9,"t","moderate","f","f",1,3.28,39,51,0
"within a few hours","f",34,34,"University District","University District",47.66125018,-122.3143933,"Apartment","Entire home/apt",4,1,0,2,"Real Bed",110,200,60,1,15,1,30,60,90,365,5,64,8,8,8,8,7,7,"t","strict","f","f",34,0.83,46,174,173
"within an hour","f",1,1,"University District","University District",47.66581866,-122.3031713,"Apartment","Private room",1,1,1,1,"Real Bed",53,0,0,1,0,1,21,21,21,45,1,100,10,10,10,10,10,10,"f","flexible","f","f",1,1,37,37,0
"within an hour","f",2,2,"University District","University District",47.66765063,-122.3194801,"House","Private room",2,1,1,1,"Real Bed",75,0,0,1,10,1,0,12,42,317,3,87,10,9,10,10,9,10,"f","moderate","f","f",2,0.51,33,33,0
"within an hour","f",1,1,"University District","University District",47.67119879,-122.3150932,"House","Entire home/apt",6,1,2,2,"Real Bed",125,250,89,6,0,2,18,48,74,236,10,96,9,9,8,8,9,9,"f","strict","f","f",1,2.86,48,184,179
"within a few hours","f",34,34,"University District","University District",47.66132295,-122.3149835,"Apartment","Entire home/apt",2,1,0,1,"Real Bed",90,200,90,1,15,2,30,60,90,365,6,70,9,9,9,7,7,7,"f","moderate","f","f",34,0.35,50,186,182
"within an hour","f",3,3,"University District","University District",47.66443671,-122.3067381,"Apartment","Entire home/apt",2,1,1,1,"Real Bed",85,300,50,2,10,2,26,56,86,361,14,96,10,10,9,10,9,10,"t","strict","f","f",2,3.56,37,37,0
"within a few hours","f",34,34,"University District","University District",47.66116769,-122.3146512,"Apartment","Entire home/apt",3,1,1,1,"Real Bed",85,100,50,1,15,2,30,60,90,365,12,68,9,8,8,8,8,7,"f","moderate","f","f",34,0.42,46,167,164
"within a few hours","f",34,34,"University District","University District",47.66101092,-122.3137344,"Apartment","Entire home/apt",2,1,0,1,"Real Bed",88,100,50,2,15,2,30,60,90,365,12,88,9,9,9,9,9,8,"f","moderate","f","f",34,0.81,43,173,172
"within a few hours","f",34,34,"University District","University District",47.6626723,-122.3043698,"Apartment","Entire home/apt",4,1,1,2,"Real Bed",92,150,60,1,15,2,24,44,74,228,1,100,10,10,10,8,8,8,"f","moderate","f","f",34,0.11,42,169,176
"within a few hours","f",1,1,"University District","University District",47.65895309,-122.3219786,"Apartment","Private room",1,1,1,1,"Real Bed",28,0,0,1,0,1,0,0,10,10,0,94.5392620624409,9.63639240506329,9.5563981042654,9.78670886075949,9.80959898958004,9.60891558646854,9.45224541429475,"f","flexible","f","f",1,0,53,53,0
"within a few hours","f",11,11,"University District","University District",47.66148495,-122.3156934,"Apartment","Entire home/apt",2,1,0,1,"Real Bed",70,100,45,1,15,2,7,28,57,57,1,100,10,10,10,10,10,10,"f","moderate","f","f",11,0.77,45,164,162
"N/A","f",1,1,"University District","University District",47.66948569,-122.3145501,"House","Private room",1,1,1,1,"Futon",30,0,0,1,0,1,30,60,90,365,0,94.5392620624409,9.63639240506329,9.5563981042654,9.78670886075949,9.80959898958004,9.60891558646854,9.45224541429475,"f","flexible","f","f",1,0,42,180,69
"within a few hours","f",34,34,"University District","University District",47.66129401,-122.313182,"Apartment","Entire home/apt",4,1,0,2,"Real Bed",93,100,60,1,15,2,0,0,0,146,2,90,8,9,10,10,9,8,"f","moderate","f","f",34,0.41,45,175,176
"within a few hours","f",11,11,"University District","University District",47.66317893,-122.3039904,"Apartment","Private room",1,1,1,1,"Real Bed",65,150,60,1,15,1,27,27,27,278,0,94.5392620624409,9.63639240506329,9.5563981042654,9.78670886075949,9.80959898958004,9.60891558646854,9.45224541429475,"f","moderate","f","f",11,0,49,175,168
"within an hour","f",1,1,"University District","University District",47.66404703,-122.3182195,"Condominium","Private room",1,1,1,1,"Real Bed",120,0,0,1,0,1,30,60,90,365,1,100,10,8,10,10,10,10,"f","flexible","f","f",1,0.29,26,26,0
"within an hour","f",21,21,"University District","University District",47.66871493,-122.3163162,"House","Private room",2,1,1,1,"Real Bed",40,500,10,1,15,1,28,58,86,86,23,94,9,10,10,10,9,9,"t","strict","f","f",21,4.45,40,174,71
"within an hour","f",21,21,"University District","University District",47.66312229,-122.3098396,"House","Private room",2,1,1,1,"Real Bed",43,500,10,1,15,1,1,21,49,324,9,96,10,10,10,9,10,10,"t","strict","f","f",21,4.74,38,184,144
"within a few hours","f",34,34,"University District","University District",47.65836316,-122.3180063,"Apartment","Entire home/apt",3,1,1,2,"Real Bed",90,150,60,1,20,2,14,44,74,349,9,93,9,10,9,10,9,9,"f","moderate","f","f",34,0.42,46,192,190
"within a few hours","f",1,1,"University District","University District",47.66109671,-122.318774,"Apartment","Entire home/apt",3,1,0,2,"Real Bed",90,0,0,1,0,2,25,55,84,84,9,87,9,8,8,9,9,8,"f","strict","f","f",1,1.74,37,193,24
"within an hour","f",1,1,"University District","University District",47.66442357,-122.3032119,"Apartment","Entire home/apt",2,1,1,1,"Real Bed",85,0,15,2,10,1,26,56,86,361,62,91,9,10,10,10,9,9,"f","strict","f","f",1,3.88,67,187,162
"within an hour","f",1,1,"University District","University District",47.66044158,-122.3137683,"Apartment","Entire home/apt",3,1,1,2,"Real Bed",115,100,25,3,20,1,26,56,86,357,14,97,10,9,10,10,9,9,"t","flexible","f","f",1,3.44,85,183,83
"within an hour","f",2,2,"University District","University District",47.65877003,-122.3136904,"Apartment","Entire home/apt",4,1,1,1,"Real Bed",89,100,25,2,20,1,27,57,87,362,124,82,9,8,9,9,9,8,"t","strict","f","t",2,4.59,92,178,174
"within an hour","f",1,1,"University District","University District",47.65825774,-122.313566,"Apartment","Entire home/apt",2,1,2,2,"Real Bed",185,0,0,1,0,1,30,60,90,365,1,94.5392620624409,9.63639240506329,9.5563981042654,9.78670886075949,9.80959898958004,9.60891558646854,9.45224541429475,"f","flexible","f","f",1,0.18,42,129,8
"within a few hours","f",34,34,"University District","University District",47.66154612,-122.3147937,"Apartment","Entire home/apt",2,1,0,2,"Real Bed",85,100,60,1,15,1,30,60,90,365,5,76,8,7,7,7,9,9,"f","strict","f","f",34,0.29,46,177,179
"within a few hours","f",1,1,"University District","University District",47.66856587,-122.307462,"Apartment","Entire home/apt",2,1,1,1,"Real Bed",135,400,99,1,0,2,30,60,89,89,0,94.5392620624409,9.63639240506329,9.5563981042654,9.78670886075949,9.80959898958004,9.60891558646854,9.45224541429475,"t","strict","f","f",1,0,48,175,173
"within a day","f",1,1,"University District","University District",47.65883581,-122.3181496,"Apartment","Entire home/apt",3,1,1,1,"Real Bed",95,95,0,2,10,2,29,59,88,88,11,98,10,10,10,10,10,10,"f","moderate","f","f",1,0.6,38,196,190
"N/A","f",1,1,"University District","University District",47.65721706,-122.3142329,"Apartment","Entire home/apt",8,1,4,4,"Real Bed",306,250,108,6,40,1,0,0,0,0,1,80,10,10,10,10,10,10,"f","strict","f","f",1,0.52,34,173,174
"within a few hours","f",1,1,"University District","University District",47.6669221,-122.3172019,"House","Shared room",4,1.5,1,2,"Real Bed",29,0,0,1,21,1,23,53,82,82,0,94.5392620624409,9.63639240506329,9.5563981042654,9.78670886075949,9.80959898958004,9.60891558646854,9.45224541429475,"f","strict","f","f",1,0,28,168,11
"within an hour","f",21,21,"University District","University District",47.66299472,-122.3102215,"House","Private room",2,1,1,1,"Real Bed",47,500,10,1,15,1,24,51,81,356,14,87,9,9,8,9,9,9,"t","strict","f","f",21,5.38,38,178,107
"within an hour","f",37,37,"University District","University District",47.65824886,-122.3176389,"House","Shared room",1,1,1,1,"Real Bed",50,350,35,1,0,4,30,60,90,365,1,100,8,8,8,8,10,8,"f","strict","f","f",37,1,43,172,126
"within a few hours","f",34,34,"University District","University District",47.65856121,-122.3160866,"Apartment","Entire home/apt",4,1,1,2,"Real Bed",105,150,60,1,15,1,30,60,90,365,3,80,7,8,8,9,10,8,"f","moderate","f","f",34,0.44,43,182,179
"within a few hours","f",34,34,"University District","University District",47.66147374,-122.3135628,"Apartment","Entire home/apt",2,1,1,1,"Real Bed",83,150,55,1,15,3,30,60,90,365,11,85,9,9,9,9,9,9,"f","moderate","f","f",34,0.37,41,171,174
"within an hour","f",1,1,"University District","University District",47.66765748,-122.3178072,"House","Private room",2,1,1,1,"Real Bed",73,0,25,2,25,1,21,51,81,356,5,96,9,10,10,10,10,9,"f","flexible","f","f",1,1.15,94,191,86
"within an hour","f",2,2,"University District","University District",47.65665819,-122.3203138,"Townhouse","Entire home/apt",4,2.5,2,2,"Real Bed",92,225,80,2,10,1,17,39,69,335,34,97,10,10,10,10,10,10,"f","strict","f","f",2,5.8,37,153,152
"within a few hours","f",2,2,"University District","University District",47.66270103,-122.3097321,"Apartment","Private room",1,0.5,1,1,"Real Bed",69,0,0,1,0,1,30,60,90,365,0,94.5392620624409,9.63639240506329,9.5563981042654,9.78670886075949,9.80959898958004,9.60891558646854,9.45224541429475,"t","flexible","f","f",2,0,32,32,0
"within a few hours","f",34,34,"University District","University District",47.6623606,-122.302424,"Apartment","Entire home/apt",6,2,2,2,"Real Bed",145,250,90,2,20,1,30,60,90,365,7,91,10,9,9,9,9,9,"f","strict","f","f",34,1.02,44,165,163
"within a few hours","f",34,34,"University District","University District",47.65863155,-122.3177664,"Apartment","Entire home/apt",4,1,1,2,"Real Bed",95,100,60,1,12,2,30,60,90,365,7,66,7,6,8,8,8,7,"f","moderate","f","f",34,0.37,44,184,180
"within a few hours","f",11,11,"University District","University District",47.66321788,-122.3043709,"Apartment","Entire home/apt",6,2,2,2,"Real Bed",150,100,90,2,15,1,30,60,90,365,8,68,7,7,7,7,9,7,"f","strict","f","f",11,0.44,41,166,173
"within a few hours","f",1,1,"University District","University District",47.66713218,-122.3164489,"Apartment","Entire home/apt",4,1,2,2,"Real Bed",85,0,0,1,0,1,29,59,89,364,1,100,10,10,10,10,10,10,"f","flexible","f","f",1,1,40,97,8
"within a few hours","f",34,34,"University District","University District",47.66313458,-122.3145582,"Apartment","Entire home/apt",2,1,0,1,"Real Bed",98,150,60,1,15,2,30,60,90,365,2,80,8,9,10,10,9,8,"f","moderate","f","f",34,0.26,46,177,162
"within an hour","f",3,3,"University District","University District",47.66396766,-122.3065185,"Apartment","Entire home/apt",4,1,1,4,"Real Bed",110,300,60,1,10,2,30,60,90,365,7,100,10,10,10,10,8,10,"t","strict","f","f",2,0.74,40,163,91
"within an hour","f",37,37,"University District","University District",47.65731409,-122.31976,"House","Shared room",1,1,1,1,"Real Bed",42,350,35,1,0,4,3,33,63,338,0,94.5392620624409,9.63639240506329,9.5563981042654,9.78670886075949,9.80959898958004,9.60891558646854,9.45224541429475,"f","strict","f","f",37,0,43,172,126
"within a few hours","f",34,34,"University District","University District",47.65860891,-122.317713,"Apartment","Entire home/apt",3,1,1,1,"Real Bed",95,150,60,1,15,2,30,60,90,365,23,82,9,9,9,8,8,8,"f","strict","f","f",34,1.23,23,174,165
"within an hour","f",37,37,"University District","University District",47.65688213,-122.318273,"House","Shared room",1,1,1,1,"Real Bed",42,350,35,1,0,4,30,60,90,365,2,90,9,9,10,10,10,9,"f","strict","f","f",37,2,43,172,126
"within a day","f",1,1,"University District","University District",47.67160466,-122.3157654,"House","Entire home/apt",5,2,3,3,"Real Bed",250,800,120,1,0,3,13,33,45,309,2,90,10,8,10,10,10,9,"f","moderate","f","f",1,0.23,39,55,0
"within an hour","f",37,37,"University District","University District",47.65697102,-122.3189181,"House","Shared room",1,1,1,1,"Real Bed",42,350,35,1,0,4,30,60,90,365,0,94.5392620624409,9.63639240506329,9.5563981042654,9.78670886075949,9.80959898958004,9.60891558646854,9.45224541429475,"f","strict","f","f",37,0,43,172,126
"within a day","f",1,1,"University District","University District",47.66391817,-122.3113423,"Apartment","Private room",2,1,1,1,"Real Bed",40,0,5,1,0,1,30,60,89,89,4,90,10,8,10,10,10,9,"f","flexible","f","f",1,2.35,44,192,43
"N/A","f",1,1,"University District","University District",47.66902314,-122.3158825,"Apartment","Entire home/apt",4,1,2,3,"Real Bed",80,200,35,4,15,2,0,0,0,214,19,85,8,8,9,9,9,8,"f","moderate","f","f",1,0.4,0,169,169
"within a day","f",1,1,"University District","University District",47.66353217,-122.3114915,"Townhouse","Shared room",2,1.5,1,2,"Couch",40,0,0,1,10,1,30,60,90,365,1,80,10,10,8,10,10,10,"f","flexible","f","f",1,0.91,45,188,33
"N/A","f",1,1,"University District","University District",47.66881617,-122.3184417,"House","Entire home/apt",6,1,2,3,"Real Bed",275,0,75,1,0,1,0,0,0,139,0,94.5392620624409,9.63639240506329,9.5563981042654,9.78670886075949,9.80959898958004,9.60891558646854,9.45224541429475,"f","flexible","f","f",1,0,41,41,0
"within a day","f",1,1,"University District","University District",47.65741412,-122.3158241,"Apartment","Entire home/apt",1,1,0,1,"Airbed",47,0,0,1,0,1,28,28,28,28,0,94.5392620624409,9.63639240506329,9.5563981042654,9.78670886075949,9.80959898958004,9.60891558646854,9.45224541429475,"f","flexible","f","f",1,0,41,41,0
"within a day","f",1,1,"University District","University District",47.6604882,-122.3148349,"Apartment","Shared room",2,1,1,2,"Real Bed",118,0,0,1,0,1,30,60,90,365,1,94.5392620624409,9.63639240506329,9.5563981042654,9.78670886075949,9.80959898958004,9.60891558646854,9.45224541429475,"f","flexible","f","f",1,0.21,38,38,0
"within a few hours","f",34,34,"University District","University District",47.65697036,-122.3157798,"Apartment","Entire home/apt",3,1,1,1,"Real Bed",105,150,60,1,15,3,30,60,90,365,5,70,8,8,8,10,9,8,"f","strict","f","f",34,0.18,46,189,184
"within a few hours","f",11,11,"University District","University District",47.65747556,-122.3175427,"Apartment","Entire home/apt",6,2,2,3,"Real Bed",150,150,90,2,15,1,30,60,90,365,1,60,8,8,10,10,10,10,"f","moderate","f","f",11,0.88,46,184,128
"within a day","f",1,1,"University District","University District",47.67042422,-122.3152792,"House","Entire home/apt",5,1.5,3,2,"Real Bed",250,0,100,1,0,2,12,28,42,317,5,100,10,9,10,10,10,10,"f","flexible","f","f",1,1.11,41,177,127
"within a day","f",2,2,"Harrison/Denny-Blaine","Central Area",47.62371457,-122.2912274,"House","Private room",2,1,1,1,"Real Bed",139,0,0,1,0,1,30,60,90,365,0,94.5392620624409,9.63639240506329,9.5563981042654,9.78670886075949,9.80959898958004,9.60891558646854,9.45224541429475,"f","flexible","f","f",1,0,22,153,154
"within an hour","f",3,3,"Harrison/Denny-Blaine","Central Area",47.6201619,-122.2958143,"Apartment","Entire home/apt",4,1,2,2,"Real Bed",128,100,10,3,25,2,14,29,59,334,158,92,9,9,10,10,10,9,"t","flexible","f","f",3,4.67,47,186,187
"N/A","f",1,1,"Harrison/Denny-Blaine","Central Area",47.62459342,-122.2945468,"Apartment","Entire home/apt",2,1,1,1,"Real Bed",110,0,25,2,25,2,0,26,56,331,16,95,10,9,10,10,9,9,"f","strict","f","f",1,0.51,0,200,200
"within a day","f",2,2,"Harrison/Denny-Blaine","Central Area",47.63051112,-122.2817713,"House","Entire home/apt",2,1,1,1,"Real Bed",210,300,80,1,0,1,3,33,63,338,2,100,10,10,10,10,9,10,"f","strict","f","f",1,0.37,30,30,0
"within an hour","f",2,2,"Harrison/Denny-Blaine","Central Area",47.61966237,-122.2895565,"House","Entire home/apt",4,1,1,2,"Real Bed",155,300,70,2,40,20,30,60,90,365,49,93,9,10,10,10,9,9,"f","strict","t","f",2,1.25,14,169,35
"within an hour","f",5,5,"Harrison/Denny-Blaine","Central Area",47.6203323,-122.2955346,"Apartment","Entire home/apt",2,1,0,1,"Real Bed",62,0,50,1,0,2,20,50,80,353,44,96,10,10,10,10,10,10,"f","strict","f","f",3,2.66,33,155,146
"within an hour","f",2,2,"Harrison/Denny-Blaine","Central Area",47.62250279,-122.2956157,"Apartment","Entire home/apt",2,1,1,1,"Real Bed",105,200,95,1,0,2,14,38,68,157,28,96,10,10,10,10,10,10,"f","strict","f","f",1,3.77,39,174,153
"within an hour","f",1,1,"Harrison/Denny-Blaine","Central Area",47.6241695,-122.2930447,"House","Private room",4,1,1,2,"Real Bed",50,95,10,2,15,1,26,56,79,87,2,100,10,10,10,10,10,10,"f","moderate","f","f",1,2,37,177,184
"within an hour","f",2,2,"Harrison/Denny-Blaine","Central Area",47.6193169,-122.2873737,"House","Private room",2,1,1,1,"Real Bed",70,300,50,1,20,20,30,57,57,59,0,94.5392620624409,9.63639240506329,9.5563981042654,9.78670886075949,9.80959898958004,9.60891558646854,9.45224541429475,"f","strict","t","f",2,0,33,177,10
"within an hour","f",1,1,"Minor","Central Area",47.60676849,-122.3134377,"House","Entire home/apt",2,1,1,1,"Real Bed",90,0,26,1,0,1,17,44,73,322,52,93,10,10,10,10,9,9,"t","moderate","f","f",1,7.57,38,160,85
"within an hour","f",2,2,"Minor","Central Area",47.60510734,-122.3037078,"House","Entire home/apt",8,2.5,3,3,"Real Bed",380,300,100,4,40,3,0,0,0,0,3,100,10,10,10,10,10,10,"f","strict","f","f",2,0.53,96,198,106
"within a day","f",1,1,"Minor","Central Area",47.6119061,-122.3033487,"House","Entire home/apt",8,3,4,4,"Real Bed",225,500,150,4,0,3,0,0,0,85,3,100,10,9,10,10,9,9,"f","strict","f","f",1,0.16,38,167,68
"within an hour","f",2,2,"Minor","Central Area",47.61136902,-122.3145287,"House","Private room",2,1,1,1,"Real Bed",60,0,0,1,0,1,9,39,68,68,12,95,9,10,10,10,10,10,"f","flexible","f","f",2,3.19,37,37,0
"within a few hours","f",1,1,"Minor","Central Area",47.61351809,-122.3116054,"Condominium","Entire home/apt",2,1,1,1,"Real Bed",100,100,20,2,25,2,28,58,88,359,0,94.5392620624409,9.63639240506329,9.5563981042654,9.78670886075949,9.80959898958004,9.60891558646854,9.45224541429475,"f","flexible","f","f",1,0,42,80,18
"within a day","f",1,1,"Minor","Central Area",47.61109191,-122.3066484,"House","Entire home/apt",5,2.5,2,2,"Real Bed",157,0,100,5,60,2,0,0,0,156,25,98,10,10,10,10,10,10,"f","flexible","f","f",1,1.94,41,41,0
"within an hour","f",1,1,"Minor","Central Area",47.6125167,-122.3143453,"Apartment","Entire home/apt",3,1,1,1,"Real Bed",150,0,30,1,0,2,30,60,90,365,8,93,10,9,10,10,10,9,"t","flexible","f","f",1,0.65,46,46,0
"within an hour","f",1,1,"Minor","Central Area",47.60518579,-122.3123022,"House","Entire home/apt",3,1,1,1,"Real Bed",85,250,83,2,35,1,18,18,18,75,74,92,9,9,10,9,9,9,"t","strict","t","t",1,2.41,39,185,184
"within a few hours","f",2,2,"Minor","Central Area",47.6124754,-122.308582,"Apartment","Shared room",1,1,1,1,"Real Bed",40,0,0,1,0,1,5,26,31,110,6,97,10,10,10,10,10,10,"f","flexible","f","f",2,5.62,39,63,0
"within an hour","f",4,4,"Minor","Central Area",47.60552279,-122.3075301,"House","Private room",2,1,1,1,"Real Bed",49,100,5,1,5,1,16,40,69,137,79,88,9,9,9,9,9,9,"t","strict","t","t",4,1.85,25,184,188
