"host_response_time","host_is_superhost","host_listings_count","host_total_listings_count","neighbourhood_cleansed","neighbourhood_group_cleansed","latitude","longitude","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","price","security_deposit","cleaning_fee","guests_included","extra_people","minimum_nights","availability_30","availability_60","availability_90","availability_365","number_of_reviews","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","instant_bookable","cancellation_policy","require_guest_profile_picture","require_guest_phone_verification","calculated_host_listings_count","reviews_per_month","count_summary","count_description","count_space"
"within a few hours","f",1,1,"Adams","Ballard",47.66862742,-122.3894959,"House","Private room",2,1,1,1,"Futon",70,0,0,1,0,1,10,38,68,343,75,94,10,9,10,10,10,10,"f","flexible","f","f",1,3.46,40,176,23
"within an hour","f",1,1,"Adams","Ballard",47.67011138,-122.3938693,"House","Private room",2,1,1,1,"Real Bed",55,100,25,1,10,2,15,43,73,348,86,94,9,10,10,10,10,10,"f","moderate","f","f",1,4.43,42,191,116
"within an hour","f",1,1,"Adams","Ballard",47.67083618,-122.3925371,"House","Private room",2,1,1,1,"Real Bed",125,0,0,1,0,1,26,49,79,345,6,92,10,10,10,10,10,8,"t","flexible","f","f",1,0.38,40,148,31
"within an hour","f",3,3,"Adams","Ballard",47.67088677,-122.3930293,"House","Private room",2,1,1,1,"Real Bed",65,0,45,1,0,1,21,49,79,354,16,94,10,10,10,10,10,10,"f","moderate","f","f",3,3.75,44,185,75
"within an hour","f",3,3,"Adams","Ballard",47.67011497,-122.3929944,"House","Private room",1,1,1,1,"Pull-out Sofa",25,0,0,1,0,1,0,0,0,55,0,94.5392620624409,9.63639240506329,9.5563981042654,9.78670886075949,9.80959898958004,9.60891558646854,9.45224541429475,"f","flexible","f","f",3,0,4,4,0
"within an hour","f",1,1,"Adams","Ballard",47.67430793,-122.3767423,"House","Entire home/apt",4,1,0,2,"Real Bed",40,500,50,2,10,5,0,0,0,48,0,94.5392620624409,9.63639240506329,9.5563981042654,9.78670886075949,9.80959898958004,9.60891558646854,9.45224541429475,"f","strict","f","f",1,0,15,186,132
"within an hour","f",4,4,"Adams","Ballard",47.67125039,-122.3826391,"House","Entire home/apt",6,1,3,4,"Real Bed",149,0,0,4,20,1,27,49,79,354,165,95,9,10,10,10,10,9,"t","moderate","f","f",2,7.84,40,196,200
"within a day","f",3,3,"Adams","Ballard",47.67180552,-122.3880471,"House","Private room",2,0.5,1,1,"Real Bed",55,0,0,1,0,1,0,0,0,247,0,94.5392620624409,9.63639240506329,9.5563981042654,9.78670886075949,9.80959898958004,9.60891558646854,9.45224541429475,"f","flexible","f","f",2,0,44,44,0
"N/A","f",1,1,"Adams","Ballard",47.66874895,-122.38387,"Apartment","Entire home/apt",2,1,1,1,"Real Bed",100,0,0,1,0,1,0,0,0,199,0,94.5392620624409,9.63639240506329,9.5563981042654,9.78670886075949,9.80959898958004,9.60891558646854,9.45224541429475,"f","strict","f","f",1,0,37,181,33
"N/A","f",1,1,"Adams","Ballard",47.66968185,-122.3909885,"Townhouse","Private room",1,1,1,1,"Real Bed",50,500,10,1,20,1,28,58,88,363,0,94.5392620624409,9.63639240506329,9.5563981042654,9.78670886075949,9.80959898958004,9.60891558646854,9.45224541429475,"f","flexible","f","f",1,0,28,28,0
"within a few hours","f",1,1,"Adams","Ballard",47.67504404,-122.3827149,"Apartment","Entire home/apt",6,1,2,3,"Real Bed",99,200,0,4,0,5,0,0,0,2,0,94.5392620624409,9.63639240506329,9.5563981042654,9.78670886075949,9.80959898958004,9.60891558646854,9.45224541429475,"f","moderate","f","f",1,0,44,175,30
"within a day","f",1,1,"Adams","Ballard",47.66797917,-122.3821054,"Apartment","Entire home/apt",2,1.5,1,1,"Real Bed",150,0,60,2,50,2,4,30,60,335,9,98,10,10,10,10,9,9,"f","strict","f","f",1,0.3,0,181,153
"within a day","f",3,3,"Adams","Ballard",47.67324985,-122.3873317,"Bungalow","Entire home/apt",4,1,1,3,"Real Bed",105,0,0,1,0,2,17,17,17,17,0,94.5392620624409,9.63639240506329,9.5563981042654,9.78670886075949,9.80959898958004,9.60891558646854,9.45224541429475,"f","flexible","f","f",2,0,42,140,26
"within a day","f",2,2,"Adams","Ballard",47.67553327,-122.376324,"House","Entire home/apt",7,4,3,3,"Real Bed",218,750,300,4,15,14,30,60,90,365,0,94.5392620624409,9.63639240506329,9.5563981042654,9.78670886075949,9.80959898958004,9.60891558646854,9.45224541429475,"f","strict","f","f",1,0,0,151,151
"within a few hours","f",1,1,"Adams","Ballard",47.67570811,-122.3875594,"House","Entire home/apt",5,1.5,2,2,"Real Bed",80,200,75,1,0,1,13,13,13,80,88,95,10,10,10,10,9,9,"f","moderate","f","f",1,6.07,37,157,160
"within an hour","f",1,1,"Adams","Ballard",47.67477103,-122.3858305,"Apartment","Entire home/apt",2,1,1,1,"Real Bed",126,300,95,2,25,2,28,28,28,275,10,98,9,10,10,10,10,9,"f","moderate","f","f",1,1.75,44,180,140
"within an hour","f",1,1,"Adams","Ballard",47.66987432,-122.3877174,"Apartment","Entire home/apt",4,1,1,2,"Real Bed",115,500,50,2,50,1,30,49,56,56,5,96,10,10,10,10,9,10,"f","strict","f","f",1,0.82,37,37,0
"within a day","f",1,1,"Adams","Ballard",47.67097576,-122.3878253,"Apartment","Entire home/apt",4,2,2,2,"Real Bed",225,0,75,1,0,2,30,60,90,365,10,98,10,10,10,10,10,9,"f","flexible","f","f",1,0.64,42,171,176
"within a day","f",36,36,"Adams","Ballard",47.67100489,-122.3813814,"House","Entire home/apt",8,2.5,3,5,"Real Bed",225,0,264,1,0,3,21,48,78,331,1,100,10,10,10,10,8,10,"f","strict","t","t",31,0.11,31,166,167
"N/A","f",1,1,"Adams","Ballard",47.67170353,-122.3763381,"House","Entire home/apt",1,1,0,1,"Real Bed",50,0,0,1,0,1,1,31,60,60,0,94.5392620624409,9.63639240506329,9.5563981042654,9.78670886075949,9.80959898958004,9.60891558646854,9.45224541429475,"f","flexible","f","f",1,0,39,39,0
"N/A","f",1,1,"Adams","Ballard",47.67481867,-122.3875212,"Apartment","Entire home/apt",2,1,1,1,"Real Bed",75,0,100,1,0,3,0,0,0,94,2,80,9,10,10,10,10,9,"f","moderate","f","f",1,0.62,40,185,56
"within a few hours","f",1,1,"Adams","Ballard",47.67300401,-122.3850048,"House","Private room",2,1,1,1,"Real Bed",65,0,0,2,15,1,29,59,89,364,46,97,10,10,10,10,10,10,"t","moderate","f","f",1,6.87,45,183,186
"within an hour","f",2,2,"Adams","Ballard",47.67039453,-122.393897,"House","Entire home/apt",6,2.5,3,4,"Real Bed",375,300,100,1,0,1,28,58,88,363,23,96,10,10,10,10,10,9,"f","moderate","f","f",1,3.75,37,170,87
"within a day","f",1,1,"Adams","Ballard",47.67575024,-122.3765799,"House","Entire home/apt",6,1.5,3,4,"Real Bed",197,0,180,1,0,4,30,60,90,364,1,100,8,10,10,10,10,8,"t","strict","f","f",1,0.09,42,187,110
"within an hour","f",2,2,"Adams","Ballard",47.67550084,-122.3889063,"Apartment","Entire home/apt",5,2,2,2,"Real Bed",135,100,50,4,15,1,19,19,19,266,5,100,10,10,10,10,10,10,"t","moderate","f","f",2,3.95,41,184,51
"within a day","f",1,1,"Adams","Ballard",47.66780059,-122.3883002,"Apartment","Entire home/apt",2,1,1,2,"Real Bed",150,250,30,1,0,2,22,52,82,357,7,97,8,10,10,10,10,9,"f","flexible","f","f",1,1.37,46,120,14
"within a day","f",1,1,"Adams","Ballard",47.66937129,-122.3762878,"Apartment","Entire home/apt",3,1,1,1,"Real Bed",200,0,50,1,0,2,30,60,89,89,4,95,10,9,10,10,10,10,"t","moderate","f","f",1,0.83,44,184,66
"within an hour","f",3,3,"Adams","Ballard",47.66896088,-122.3938769,"Townhouse","Private room",2,1,1,1,"Real Bed",60,0,55,1,0,1,15,43,45,47,16,98,10,10,10,10,10,10,"f","moderate","f","f",3,3.87,43,181,63
"N/A","f",1,1,"Adams","Ballard",47.67168771,-122.3925586,"House","Entire home/apt",5,3,3,5,"Real Bed",180,0,150,1,0,5,30,60,90,365,1,100,10,10,10,10,10,10,"f","strict","f","f",1,1,38,100,6
"within an hour","f",1,1,"Adams","Ballard",47.67180998,-122.3834372,"Apartment","Private room",3,1,1,1,"Real Bed",69,0,0,2,15,1,1,4,34,114,8,100,10,10,10,10,10,10,"f","moderate","f","f",1,3.38,40,178,186
"within a few hours","f",1,1,"Adams","Ballard",47.66502233,-122.3827968,"Apartment","Entire home/apt",3,1,0,1,"Real Bed",90,0,25,2,15,1,27,57,87,112,1,100,10,10,10,10,10,10,"f","flexible","f","f",1,1,37,198,49
"within an hour","f",1,1,"Adams","Ballard",47.66898921,-122.3951453,"Apartment","Entire home/apt",2,1,1,1,"Real Bed",80,0,0,2,0,1,0,0,0,149,5,92,9,8,9,10,10,10,"f","flexible","f","f",1,0.65,42,107,8
"N/A","f",1,1,"Adams","Ballard",47.6693543,-122.3903476,"Townhouse","Private room",2,1.5,1,1,"Real Bed",65,0,25,1,0,1,30,57,87,176,0,94.5392620624409,9.63639240506329,9.5563981042654,9.78670886075949,9.80959898958004,9.60891558646854,9.45224541429475,"t","flexible","f","f",1,0,39,181,159
"within an hour","f",4,4,"Adams","Ballard",47.67058142,-122.3822112,"House","Entire home/apt",6,1.5,2,3,"Real Bed",195,0,0,4,20,1,30,57,87,362,113,94,9,9,10,10,10,9,"t","moderate","f","f",2,7.53,39,192,199
"within a day","f",1,1,"Adams","Ballard",47.67210896,-122.3835885,"Apartment","Entire home/apt",4,1,1,1,"Real Bed",149,0,0,1,0,1,22,28,28,183,0,94.5392620624409,9.63639240506329,9.5563981042654,9.78670886075949,9.80959898958004,9.60891558646854,9.45224541429475,"f","flexible","f","f",1,0,24,116,27
"within a few hours","f",1,1,"Adams","Ballard",47.67155977,-122.382704,"House","Entire home/apt",3,1,2,2,"Real Bed",115,200,40,2,10,3,10,25,54,54,44,91,9,9,10,10,9,9,"f","strict","f","f",1,5.87,50,176,173
"within a day","f",3,3,"Adams","Ballard",47.67283504,-122.3874716,"House","Private room",2,1,1,1,"Real Bed",55,0,0,1,0,1,0,2,2,249,7,94,10,10,10,10,10,10,"f","flexible","f","f",2,1.91,40,40,0
"within an hour","f",1,1,"Adams","Ballard",47.6721767,-122.3903617,"Townhouse","Entire home/apt",2,1,0,1,"Real Bed",85,200,35,1,0,2,30,60,89,89,11,95,10,10,9,10,10,9,"t","moderate","f","f",1,3.55,31,166,61
