"","x"
"1283",0.0136999660110318
"789",0.0341210441024693
"901",0.0450358328730418
"3309",0.0125751193406872
"2582",0.0148711073604404
"3169",0.0091026562958692
"996",0.0167518520721132
"826",0.021835905575829
"1585",0.0147981768087207
"1246",0.0532767492603874
"2648",0.0295096125959087
"752",0.0160723144103395
"3259",0.0132566728620963
"2387",0.0229822964775736
"3042",0.0509911281353432
"1526",0.0277166355834944
"2484",0.0407844193094024
"760",0.0125450189213129
"2827",0.0224993910806096
"3449",0.146361202446701
"2027",0.0149252903443369
"1608",0.0580777357051669
"3243",0.0187798368410683
"444",0.0321086621803121
"1448",0.0200052644639196
"2481",0.0170043045501161
"828",0.0540923748508761
"3672",0.0788427821019748
"948",0.0252996662768952
"2002",0.0295842641085701
"1983",0.0267406702577398
"624",0.0289063633215691
"221",0.0137328071791714
"1387",0.0173917354148186
"3040",0.0851177745563132
"2098",0.0122084338692962
"1527",0.0237739019797343
"2257",0.0750517993385938
"2148",0.0180750943150187
"3462",0.0127363436596719
"242",0.0109672031651623
"17",0.0150555426675738
"2714",0.0172949920259719
"2759",0.113178621451181
"2567",0.0141315189636538
"2049",0.0122468315784224
"65",0.0199299309258889
"2574",0.0228629235394061
"1514",0.025369548759943
"1042",0.15928192860189
"3163",0.0103585521991833
"759",0.0479920953425344
"2023",0.0220377467937931
"2942",0.0150190801872563
"1388",0.029963172786761
"567",0.0286608360962096
"1455",0.0289799934877941
"3066",0.0257033075418551
"1717",0.0244142515627705
"1506",0.139539064037796
"134",0.0636640258559943
"1214",0.0197599790699227
"1770",0.0188439977093378
"2945",0.0215226064703808
"856",0.0270826102962323
"3767",0.0167241704696882
"2080",0.0159227555185642
"3364",0.0264990095712321
"1029",0.0215095894658054
"1918",0.0714216375736178
"2791",0.0133279589077224
"2731",0.0534117570037938
"1159",0.0127764146665243
"2279",0.0114114982745351
"1155",0.0123371368467038
"215",0.0182081349390006
"3101",0.0268878923894495
"1833",0.0395696951700826
"2522",0.0152885408537041
"491",0.0115190001694758
"1599",0.0223237583071164
"2798",0.035020124161878
"2351",0.0222778621817448
"952",0.136091229397286
"986",0.02002971552872
"872",0.027213543840513
"2871",0.0341929762406898
"1657",0.02888291590571
"1222",0.00951547306824712
"1563",0.058104057370231
"217",0.0232867129969509
"3304",0.0581091899738702
"750",0.0277849269844477
"3356",0.0195633581427184
"1636",0.0303666793892257
"3254",0.0153711229479101
"2343",0.0291890463758201
"353",0.0185188823960375
"1347",0.0165810625507534
"520",0.0139931792470762
"1456",0.0223306007845571
"278",0.0321736110919122
"668",0.0832983363402636
"602",0.0249898206685251
"39",0.0244899014407526
"3023",0.0727768361941092
"487",0.0124111112825698
"3582",0.0210696838792477
"1389",0.0196481924051528
"1215",0.0130524516199273
"588",0.0240225270575915
"3412",0.0248280117564623
"938",0.0560397398118196
"881",0.0246805518709104
"2042",0.010112583753647
"1978",0.0449415720541248
"794",0.0366704954446999
"2370",0.0185563742970825
"3567",0.0139597084054742
"2381",0.0343558368917766
"1754",0.0243010292772412
"1260",0.0107321618601216
"1703",0.0192256424269942
"2400",0.0170421651910626
"571",0.0314980333214383
"1440",0.0206241845706908
"1571",0.030446281076904
"2715",0.017170411207151
"553",0.0300396885545722
"3294",0.0471171876794892
"3755",0.033553926569236
"256",0.0251320546502906
"3810",0.0542588809550845
"2106",0.0104236849328827
"2553",0.0124145937937032
"1169",0.0191887590170116
"3505",0.0841256375211545
"1006",0.0179945830509641
"2716",0.0159252464210716
"1755",0.0226670384603395
"275",0.02706435888344
"1815",0.0628508652321526
"2461",0.0373613744939172
"209",0.0105110182709806
"1661",0.031854346306231
"451",0.0291195189450448
"1044",0.0204092434861488
"1689",0.0243813202543576
"1447",0.015902622370824
"984",0.0190278957762597
"3258",0.0141037524666778
"1739",0.119458943547923
"2021",0.00999154624216898
"2649",0.0307214430398233
"2227",0.0160635003365196
"214",0.0136081677407379
"129",0.0155114148125663
"2811",0.0190597678135093
"383",0.101525602323915
"3546",0.0346937701280143
"940",0.0223313098439705
"1911",0.240660939496916
"83",0.0388544908143535
"3094",0.0265753798827435
"1170",0.0209669398079568
"1194",0.0306485172612063
"399",0.0219889444737415
"2024",0.0253916383514541
"2273",0.0182922638537963
"3210",0.0356529062467391
"3682",0.0156673871051348
"3703",0.0380228317583797
"2105",0.0300029717245852
"466",0.0353461666946225
"3344",0.0370859689940286
"2680",0.0259046226380623
"3538",0.0458090373768426
"1552",0.0249568240132762
"76",0.023018893198774
"3389",0.0174780395095698
"2712",0.0163620501568038
"2088",0.0126724129073415
"1133",0.0907353757529617
"3093",0.0214789924080352
"452",0.00937871921351018
"2834",0.0105638733879875
"449",0.0220995027477608
"1744",0.0251957964991186
"1057",0.0202647431125656
"2454",0.0348564221319677
"2409",0.0336459703059799
"1070",0.0248936692225144
"1040",0.0320888108700987
"476",0.0302559646569689
"1381",0.0290181030113619
"2477",0.0153277799808704
"12",0.0343513339833126
"825",0.0111525314802145
"3693",0.0176361383897838
"3726",0.0156530865773666
"993",0.0212763442293395
"137",0.0839062008576671
"2091",0.0227830112791185
"681",0.0167858695423473
"688",0.0409881638815201
"914",0.0518486929949476
"3092",0.0132001547297257
"2703",0.044787425408767
"1060",0.0150222521129018
"52",0.0286997669446781
"541",0.0231668269124253
"422",0.0285246833820242
"346",0.0191754990975371
"3612",0.0165770637076876
"847",0.0330034074076121
"530",0.027643411303322
"3516",0.0211226807330757
"434",0.0282959109108804
"1898",0.0360074208269663
"3501",0.019309659967219
"2300",0.0124331315298902
"3783",0.0177502645101937
"2145",0.0206353962526776
"3739",0.03574182570134
"3038",0.0186742437950566
"1699",0.0159203745865917
"380",0.0189504871078605
"3119",0.0133000719300552
"1876",0.0331497017663007
"3740",0.0353787707356388
"9",0.0974685070263697
"3222",0.0565354552623055
"3338",0.0183357308269996
"1841",0.0487955162735642
"3388",0.0150627863090496
"911",0.0367991992322951
"3562",0.0126692019609409
"2854",0.0154544696183368
"866",0.0513153863089114
"3660",0.0306724032983249
"2807",0.0222669133936595
"1678",0.0248312555616921
"1243",0.0191540149757352
"98",0.0210509224571354
"1948",0.0481395736833238
"254",0.0317318928491918
"454",0.011213958637955
"925",0.0473964885930482
"832",0.049556104338155
"532",0.0529159338812452
"2187",0.0126754468049077
"1520",0.0276112800733386
"895",0.0603577531250366
"3202",0.073060508514571
"2084",0.0172042774727746
"3349",0.0166403708625103
"1835",0.0873193822008304
"3809",0.058315030676816
"2785",0.0226232316405986
"3583",0.0128701225539765
"2789",0.022387245790196
"1783",0.033569274851421
"1830",0.0373358727948051
"407",0.0149574063088431
"1816",0.0289748437045513
"1784",0.0200376654654757
"2915",0.0118053870098879
"1651",0.024477785999004
"1043",0.0232173014436632
"2875",0.0622678554957563
"94",0.0233799569500088
"764",0.0128082003787805
"3426",0.0736485718676665
"431",0.0371118472568072
"1791",0.021287759382525
"45",0.0117785171610227
"2900",0.0181843312518677
"1039",0.0184094501178916
"1056",0.0152260716746965
"2643",0.0445860923146096
"2328",0.0162525873609782
"1027",0.019021157881458
"2647",0.0386921830184192
"330",0.0171929672290303
"2910",0.0221398739925748
"1049",0.0119321519215942
"2201",0.0104414536199564
"1038",0.0644394084451671
"360",0.0157661456962254
"255",0.0249430519742985
"2839",0.0207305187316628
"615",0.0411643852525513
"1261",0.0327639528108068
"3433",0.0173357375447493
"1725",0.126275223086033
"315",0.014294928866994
"269",0.0282955776938219
"596",0.025767295853195
"3540",0.0273099752861943
"3450",0.142962302190907
"3751",0.0384357825550427
"1065",0.0877842167716267
"3126",0.0121812221065755
"3455",0.0224824768788796
"720",0.0130118263619737
"2853",0.0153322857932042
"1965",0.0131583406728714
"318",0.0319286953162606
"1209",0.0169792539339651
"1646",0.108537323301465
"581",0.0263033093297332
"1708",0.0293674126722328
"671",0.0117087711366354
"2559",0.0118574747036737
"2885",0.0153072403164494
"3211",0.0171852146033222
"3525",0.0501300084054494
"3773",0.0283776632889168
"1779",0.0229167946941502
"1688",0.0792012125035742
"820",0.0250382434310555
"1627",0.0267463382528912
"1273",0.0243244534222408
"1256",0.0139452037758696
"3368",0.0119957113465507
"3223",0.0216344320478904
"2585",0.0214694299150013
"3488",0.0275542743461514
